,A375_SKIN,A549_LUNG,HEPG2_LIVER,HT29_LARGE_INTESTINE,MCF7_BREAST,PC3_PROSTATE,YAPC_PANCREAS
NPAS1,9.09,1.21,1.71,0.81,1.59,0.78,0.59
GMFG,2,0.41,2.28,0.32,0.21,0.12,1.74
MAP3K10,8.95,4.8,5.36,4.81,3.78,4.5,3.86
ARHGEF16,0.15,1.23,18.89,38.85,17.37,12.2,201.67
LRRC47,54.42,35.36,32.13,30.35,45.59,42.49,22.96
SESN2,6.33,3.41,7.32,10.45,16.77,1.9,3.59
SMPDL3B,0.12,1.96,0.64,12.29,7.39,12.17,3.5
ATP5IF1,318.8,104.16,153.2,489.08,472.78,160.56,213.77
MED18,19.75,10.28,8.17,11.45,11.12,6.24,12.88
THEMIS2,3.32,0.36,0.67,0.14,0.64,0.79,5.07
CLIP1,21.7,69.45,16.47,19.05,22.9,24.14,40.17
CCDC62,0.14,0.1,0,0.05,0.02,0.2,0
HIP1R,14.78,6.54,11.47,33.95,23.11,9.83,37.87
ZNF317,17.27,11.72,9.24,9.16,8.82,15.35,10.68
PPAN,98.5,29.71,28.37,34.22,53.34,74.4,23.7
EIF3G,355.79,104.52,138.63,117.18,199.46,197.27,120.42
ANGPTL6,0.44,0.06,0.17,0.09,0.32,0.23,0
SHFL,17.37,4.59,9.34,6.39,2.65,8.86,12.7
DNMT1,194.98,58.43,55.06,80.48,103.59,103.46,85.77
ZNF426,4.26,1.23,2.48,2,0.01,2.68,1.97
SLC6A8,55.04,4.13,92.08,81.07,12.56,27.09,13.7
PNCK,0.33,0.03,3.57,0.59,0.27,0.13,0.4
DKC1,143.98,143.27,74.38,178.69,108.6,94.36,88.52
PLXNA3,10.03,1.31,4.59,32.05,64.79,8.6,24.49
DUSP9,4.36,0.85,194.2,0,0.94,2.38,2.02
MPP1,9.59,14.04,7.15,0.13,0.14,9.42,3.32
ZNF331,8.03,10.41,9.13,5.3,12.86,9.18,5.13
ZNF236,3.07,2.05,1.34,1.27,1.78,1.91,4.55
SLC7A10,0,0.07,0.6,0.02,0,0,0.2
LRP3,4.03,13.34,29.48,0.03,10.3,3.96,18.58
C12orf65,20.3,25.51,13.02,24.54,15.55,22.8,19.57
NOL11,55.95,91.95,42.17,68.21,100.16,54.55,56.28
UBE4B,34.02,13.98,31.61,42.42,25.73,17.46,17.38
CASZ1,0.57,1.33,2.29,14.14,9.94,1.31,2.32
PKDREJ,0.03,0.01,0.14,0.05,0.04,0.08,0.02
HSD17B3,2.62,0.25,0.04,0,0.13,0.06,0.11
NUTM2F,0.02,0,0.04,0.08,0.04,0.02,0.14
HABP4,7.81,9.87,17.7,4.67,4.25,5.56,8.06
FBP2,0.17,0.03,0.03,0.13,0.08,0.05,0
SLC35D2,15.75,18.44,76.59,29.66,16.01,15.09,46.53
PRRG1,5.2,5.18,3.18,4.25,1.99,7.05,4.78
UBA1,186.86,116.63,75.78,173.47,142,110.7,145.95
RGN,0.06,0.01,38.7,0.13,0.1,0,3.15
POLN,0.11,1.7,0.15,0.25,0.24,0.21,1.72
TXLNGY,0.03,30.33,25.43,0,0.04,0.02,52.78
TTTY9B,0,0,0,0,0,0,0
PPIL4,21.6,17.4,22.61,16.49,18.68,11.21,21.55
ULBP2,10.33,2.78,0,3.44,4.91,7.38,3.14
AKAP12,112.44,42.01,14.81,1.43,0.17,32.73,35.37
SYNE1,12.58,34.92,4.2,1.45,0.71,4.64,3.19
ULBP3,4.54,1.78,0.38,3.7,1.14,4.13,5.34
LATS1,7.25,5.18,6.12,7.16,7.92,2.05,12.51
EPS8L1,0.85,2.35,2.22,158.2,34.58,26.54,24.86
LILRB2,0,0,0,0,0,0,0
AAR2,35.4,29.23,23.97,24.82,20.05,19.32,26.44
TTLL9,0.13,0.07,0.02,0.23,0.44,0.1,0.77
BPIFA2,0.05,0.04,0,0,0,0,0
RBM39,236.98,162.23,306.64,271.32,218.75,115.12,318.48
COX4I2,0,0,0.04,0,0,0,0
BPIFA3,0,0,0,0,0,0,0
ZNF341,2.94,2.28,1.51,2.38,2.98,1.84,6.1
GGT7,26.67,3.5,11.48,1.82,8.26,2.86,15.7
DEFB118,0,0,0,0,0,0,0
ACSS2,32.38,11.25,53.8,6.03,16.77,25.78,24.04
EDA2R,3.23,9.91,5.02,0.02,2.99,0,0.05
ARHGEF9,8.62,3,0.31,3.4,7.75,2.92,7.93
C1QL1,1.62,2.69,0.1,0.05,4.61,2,1.98
GFAP,0.44,1.28,0.07,0.27,0.11,0.18,3.12
PYY,0,0,0,0,0.02,0,0
HIGD1B,0.43,0.09,0.05,0.25,0.22,0.31,0
ATP6V1E1,102.96,95.92,63.49,54.79,109.35,66.9,123.6
ZNF227,15.29,12.54,5.94,10.42,6.79,4.33,7.55
ZNF428,21.38,17.19,26,43.3,45.99,17.17,28.85
TEX101,0,0,0,0,0,0,0
ZNF141,4.52,2.89,0.01,1.46,3.6,2.55,10.25
CCL25,0,0,0,0,0.1,0.07,2.24
COX4I1,734.47,616.42,550.23,568.55,813.57,431.08,571.63
EMC8,24.85,28.73,33.69,28.05,25.59,15.94,21.08
GSE1,8.9,12.6,23.06,35.56,78.23,6.82,20.14
GINS2,19.38,31.13,19.53,15.72,21.81,10.81,25.81
CHMP1A,70.3,44.52,79,97.99,122.71,37.19,84.93
SH3BGRL,17.54,45.35,7.72,20.3,71.46,24.54,42.23
COX7B,63.02,69.3,31.42,76.44,74.34,121.74,110.54
SLC34A1,0.05,0.01,0.01,0.06,0.06,0.03,0.04
F12,3.66,6.4,5.2,19.96,22.06,16.42,16.45
PRR7,7.16,0.87,5.03,11.12,15.74,4.29,5.17
NFATC1,4.12,0.87,0.04,0.01,1.83,0.95,4.89
IDO1,0,0.01,0,0,0,0.7,2.63
GJA9,0,0.14,0.07,0.14,0.02,0.2,0
CAP1,315.29,258.74,116.87,189.55,136.52,143.97,158.77
PPT1,141.05,64.08,134.86,119.93,120.81,80.93,47.72
RAB11FIP4,1.07,1.55,79.59,25.95,14.04,0.84,22.19
RLIM,15.42,15.19,4.86,14.53,8.99,8.11,16.5
CDX4,0,0,0,0,0,0,0
ABCB7,15.72,21.17,10.51,22.71,10.3,13.99,17.1
TRAF3,11.62,16.92,6.65,5.87,7,8.34,14.29
HAUS8,26.21,13.79,9.82,12.52,15.88,20.75,14.41
ADGRE3,0,0,0,0,0.01,0,0
MRPS25,59.41,40.82,38.24,29.27,56.22,46.42,25.85
SH3BP5,11.01,7.46,0.08,0.22,135.24,7.23,8.79
HACL1,43.7,25.1,14.98,22.41,17.39,20.37,7.83
TBC1D5,19.47,21.13,14.49,8.07,16.01,13.34,17.74
CAPN7,19.14,19.41,13.46,7.58,16.65,10.21,8.66
RFTN1,4.33,1.13,0.23,0.09,10.09,3.58,0.44
C3orf20,0,0.01,0,0,0,0.01,0
RBSN,11.24,7.2,5.38,4.1,12.82,7.58,5.43
GALNT15,0,0.01,0.01,0,0.06,0.02,0
SLC6A6,25.25,43.9,13.2,18.45,9.82,13.82,30.95
KCNC3,3.09,0.14,2.36,7.81,7.12,1.93,1.26
NAPSA,0.59,0.78,0.03,0.92,1.51,0.47,1.08
NAPSB,0.23,0,0.11,1.25,0.08,0,0.74
NR1H2,55.86,34.39,10.67,30.2,37.91,49.14,23.65
LRRC4B,9.69,0.24,0.01,0.06,0.29,0.11,0.16
PDLIM4,58.53,0.07,1.12,0.58,0,12.45,15.61
KIF3A,11.63,12.92,3.09,4.66,10.04,4.06,13.28
MGAT1,58.17,30.18,65.56,57.49,73.09,66.71,137.3
GFPT2,23.56,14.53,0.04,0.12,0.69,2.24,1.69
TUBG1,106.7,110.42,115.15,54.1,73.54,54.91,71.96
PSME3,219.6,215.7,121.47,141.76,94.9,59.36,149.45
RPL27,4001.6,2999.7,3223.5,3209.3,1977.5,1017.7,3133.6
PSMC3IP,54.01,32.61,20.69,28.98,25.12,17.15,33.89
AOC3,0.72,0.63,20.87,0.34,0.19,0.31,0.04
ACLY,107.01,216.29,92.3,99.67,82.09,42.32,87.39
VPS25,142.65,98.11,116.08,80.93,99.48,35.75,74.89
RAMP2,0.49,0.64,3.99,0,0.4,0.5,0
AOC2,1.06,1.16,1.31,0.66,0.31,0.67,0.17
G6PC1,0,0,47.69,0,0,0,0
NDUFA2,149.47,81.02,89.95,125.17,193.87,95.63,170.87
ANKHD1,53.11,36.07,50.19,61.99,94.76,26.12,87.53
DIAPH1,85.74,49.91,44.16,72.9,67.5,33.89,127.13
NDFIP1,24.88,40.95,16.87,16.48,29.17,17.33,49.61
UBE2D2,44.62,79.47,43.51,50,56.43,49.19,104.83
TTTY6,0,0,0,0,0,0,0
TTTY6B,0,0,0,0,0,0,0
EXOC4,20.91,25.98,11.88,46.5,27.85,17.86,45.58
ACAP3,19.96,4.79,27.75,35.88,25.6,41.76,10.55
C1orf159,9.11,5.43,3.83,13.95,11.86,19.97,26.89
ANO1,19.9,0.65,0.07,29.04,0.28,60.99,122.21
PPFIA1,30.33,21.33,14.31,34.07,44.41,23.31,46.59
TMEM204,0.11,0.08,0.01,0.57,0.1,0.04,0.28
KREMEN2,1.3,0.78,1.07,0.3,2.51,1.3,2.37
THOC6,42.59,29,27.66,26.07,24.53,17.06,23.59
TRAF7,71.01,28.16,46.45,78.92,48.43,19.18,63.59
BARX1,21.8,4.36,0.02,0,0.04,0.02,7.98
NINJ1,9.2,30.53,78.9,12.68,44.25,14.35,30.07
CA6,0,0,0.07,0,0,0,0
NPHP4,7.82,2.17,5.29,8.49,6.4,5.59,4.52
MAP1B,7.79,43.23,1.36,0.05,0.7,3.22,3.24
RHOXF2,0,0.06,0,0,0.02,0,0.03
IL13RA1,10.22,63.08,49.39,33.2,32.21,25.08,39.66
WDR44,5.6,11.28,1.93,6.31,11.13,7.08,11.97
CKMT2,0.07,0.02,1.4,0.38,0.29,0,1
ZCCHC9,39.81,30.53,35.03,25.36,25.29,19.89,41.89
KRT34,0.07,0.17,0.05,0.04,0.01,0.89,0
KRT33B,0,0,0,0,0,0,0
TNS4,0.1,38.56,4.02,33.71,0.71,51.41,172.64
TOP2A,142.63,236.23,131.99,94.02,57.72,73.14,264.57
STARD3,53.8,28.72,52.72,52.09,27.54,31.3,51.75
RARA,20.79,8.9,12.72,14.52,17.36,6.87,25.12
PPP1R1B,1.39,0.02,0.12,24.44,0.07,1.29,1.12
KHDRBS3,8.18,1.87,10.63,0.49,0.57,15.1,0.35
CHD1L,39.97,36.77,67.95,23.17,36.25,37.85,23.9
PEX11B,27.84,13.83,17.71,16.29,47.29,16.47,31.38
FMO5,0.84,0.42,65.25,1.57,5.78,2.24,1.35
PIAS3,34.3,13.42,6.15,28.12,88.48,18.86,42.25
PRKAB2,9.4,7.45,29.24,5.97,17.28,9.36,3.37
CLUHP3,6.54,2.7,27.38,11.91,13.27,3.59,8.73
FSHB,0,0,0,0.02,0,0,0
PDHA1,152.79,176.31,122.36,194.93,194.36,166.95,134.91
RAI2,0,0.04,0,0.03,1.27,1.12,0.3
MCCC2,69.41,43.39,64.11,65.14,145.06,10.66,61.07
ZNF304,4.3,2.19,2.56,0.04,1.2,3.05,2.73
ZSCAN5A,16.53,9.95,10.6,11.93,5.72,8.11,4.04
ZNF132,1.64,0.75,0.28,0.99,0.71,0.54,2.22
USP29,0.01,0,0,0,0,0,0
SELENOS,56.06,100.14,48.55,65.63,157.83,51.18,103.18
CHSY1,46.11,16.81,8.87,8.4,20.26,8.36,17.13
SNRPA1,105.27,133.1,65.69,126.31,238.87,51.15,116.93
KRT17P1,0,0,0,0.04,0,0,0
LLGL1,19.66,8.67,11.55,11.04,9.29,9.92,9.99
NR0B2,0.05,0.05,75.46,15.07,0,0.04,0
LIN28A,0,0.07,0.01,0,0.02,0,0.01
THAP1,5.77,11.04,4.53,2.86,3.98,4.8,7.36
RHPN2,9.27,61.36,21.73,37.38,25.81,8.98,37.4
C19orf12,20.02,24.33,15.21,9.32,8.99,5.14,25.11
FAAP24,8.18,15.87,2.86,6.09,4.53,4.09,14.27
LRRC9,0,0,0.1,0,0,0.06,0.25
ACTR10,20.32,49.34,14.22,15.98,40.34,54.08,48.61
ABHD12B,0.36,0.11,0.32,0.08,0.03,0.36,0.01
GCH1,1.77,2.7,13.27,7.67,23.43,5.79,10.14
LGALS3,51.69,71.72,24.57,70.94,246.73,99.98,725.59
UBE2L2,0,0,0,0,0,0,0
PODNL1,0.63,0.87,0.07,0.26,4.16,0.51,1.24
DNAJB1,110.16,95.18,62.38,43.88,89.42,68.42,142.07
ZSWIM4,8.02,2.28,0.68,2.28,1.4,2.96,5.03
FBXW9,19.47,4.01,6.84,10.36,17.58,8.02,9.52
RFX1,5.9,1.62,3,4.11,5.14,2.72,5.47
ZNF20,4.51,0.16,2.15,2.65,2.39,3.89,5.97
BRME1,3.17,0.08,0.78,0.93,1.81,2.39,4.15
DCAF15,32.96,10.85,12.27,17.01,30.94,19.18,24.52
CC2D1A,22.34,6.51,8.87,13.95,32.06,23.7,26.2
RTBDN,0.16,0.09,0.39,0.1,0.18,1.58,0.09
MATN3,0.83,15.46,83.44,0.64,3.26,6.82,4.21
TRIM21,4.84,13.63,2.13,10.73,1.68,6.95,31.65
SPATA6,6.96,1,0.64,1.08,0.45,0.82,0.99
LRRC41,41.28,20.31,29.71,13.25,19.56,16.48,25.2
CCT6B,0.67,0.41,0.53,0.78,1.1,0.32,2.64
DHX30,78.62,33.68,33.93,25.69,29.23,49.82,29.62
RAF1,68.95,50.38,40.48,30.84,73.02,56.15,38.93
SLC6A11,0.01,0.06,15.41,0,0,7.83,0.02
PPARG,34.14,25.67,11.22,52.72,0.66,145.68,44.43
NUP210,3.28,19.92,40.04,31.17,42.99,27.97,33.05
FCRLA,15.15,0.08,0.05,0.05,0.05,0.03,0.5
HSD17B7,18.88,18.94,30.74,19.23,10.36,20.64,26.41
ENOSF1,22.92,25.15,19.93,67.13,48.38,31.89,66.85
LINC00470,3.62,3,0,0,0.02,0.01,0
EMILIN2,8.46,2.83,4.51,6.61,0.06,7.86,4.08
SLX1A,28.22,3.72,25.74,19.05,36.98,14.55,2.5
ARFIP2,56.78,39.02,26.69,75.45,44.44,36.8,54.88
TRIM5,9.78,16.69,5.69,12.73,3.25,14.26,20.65
CNGA4,0.02,0.05,0.01,0.1,0.03,0.05,0
TRIM22,0.66,0.66,1.2,0.08,0.13,0.24,34.6
RRP8,12.04,19.27,6.83,10.49,5.08,7.98,13.97
TIMM10B,22.4,18.33,19.6,32.3,12.38,9.19,26.78
EFR3A,9.99,32.31,10.92,28.32,23.13,15.91,42.4
HHLA1,0,0,0,0,0,0.09,0
PTCD3,37.59,52.38,53.38,47.55,44.29,26.45,58.91
IMMT,113.92,119.36,71.98,74.48,74.61,45.75,59.13
MRPL35,77.71,86.21,49.54,47.64,56.89,40.47,48.97
IQCA1,0.01,0.02,0.01,0.01,0.08,0.07,0.02
ILKAP,27.51,30.22,29.67,27.62,24.53,22.32,32.26
PER2,0.85,3.44,3.94,4.17,4.64,1.4,6.49
RAMP1,29.05,0.09,0.21,1.41,58.56,112.88,13.6
SCLY,20.91,15.49,20.26,16.78,8.11,8.12,23.55
PTPRE,0.97,0.35,0.07,0.99,3.57,1.3,18.38
RAN,934.44,1410.9,621.89,969.08,1005.8,1334.2,823.54
PRKAA1,66.14,39.99,24.11,64.67,26.13,26.66,21.13
CARD6,3.31,3.62,0.1,1.13,0.05,2.11,4.11
RAP1GAP2,7.95,7.08,6.82,11.42,7.96,5.73,6.67
CLUH,47.18,46.35,68.48,61.23,65.06,26.63,24.58
INPP5K,28.89,14.09,3.7,14.69,20.4,9.13,16.62
MYBBP1A,100.67,57.85,38.46,43.31,55.54,31.55,18.25
RPA1,53.76,64.88,24.78,40.9,39.79,22.54,35.51
SERPINF1,9.1,3.45,796.83,1.06,2.39,0.92,133.29
UBE2G1,26.08,62.19,30.15,26.22,29.23,16.63,25.35
EEFSEC,9.96,4.44,16.37,14.03,11.91,5.93,14.92
TBC1D14,38.12,18.35,29.31,37.83,18.2,14.81,47.95
TMEM128,25.53,9.46,14.71,20.79,19.33,11.09,32.98
COQ3,18.82,16.05,7.62,21.7,11.67,9.83,5.06
PNISR,70.45,29.83,31.62,71.89,71.98,39.46,75.18
POPDC3,40.03,27.46,0.08,0,0.36,10.39,5.5
SEC61G,533.24,483.81,298.2,441.61,420.55,482.41,460.88
LANCL2,13.74,8.17,8.73,11.14,8.15,10.12,10.1
FIGNL1,18.68,24.24,5.54,18.48,10.22,15.31,26.94
DDC,0.11,1.9,33.37,18.9,0.1,0.03,0.08
FTHL17,0,0,0,0,0,0,0
GRSF1,57.95,75.85,44.28,78.92,57.08,77.46,92.44
ENAM,0,0,0,0,0,0.02,0.05
JCHAIN,0.41,0.17,0.04,0.1,0.03,0.67,5.52
ANKRD17,27.78,15.52,29.42,26.26,16.63,19.09,19.53
UTP3,44.41,26.72,18.29,40.85,24.68,30.35,37.4
ITGB4,2.74,9.97,9.55,109.47,53.48,194.25,220.5
WBP2,69.94,33.93,55.25,40.81,66.61,53.24,103.89
H3-3B,907.87,637.85,594.65,805.27,3022.1,1089.8,1210.4
UNK,27.03,24.07,24.47,19.7,42.31,23.42,21.58
TRIM47,14.95,33.44,35.75,21.01,0.17,21.19,39.98
ZRANB2,86.38,30.35,30.13,56.08,30.06,36.22,45.02
EIF5A,1022.9,1168.3,587.64,831.47,788.63,460.24,395.78
KDM6B,14.73,1.68,9.25,7.64,14.54,1.29,5.73
CLEC10A,0,0,0.04,0,0,0.02,0
SLC52A1,0.04,0.95,0.02,0,0.38,0.01,0.06
GUCY2D,0,0,0,0,0,0.06,0.11
GPS2,97.35,69.49,49.08,33.23,55.93,32.78,38.6
XAF1,0.3,0.03,1.17,0.08,0.09,0.07,34.62
DLG4,16.19,4.84,0.66,0.31,6.28,8.05,9.68
RIDA,25.59,35.86,26.27,31.94,47.61,37.33,51.97
VPS13B,5.54,6.44,4.3,4.18,22.15,1.94,10.25
RGS22,0.01,0.62,0,0,4.51,0,0
MATN2,0.29,24.37,0.51,2.33,8.98,71.07,1.62
REEP2,11.26,2.48,5.11,0.05,1.84,2.19,0.55
PCBD2,6.43,7.13,4.73,7.15,22.55,3.39,18.49
SDF2,41.83,76.24,28.32,39.6,51.64,36.52,81.53
FLOT2,46.34,38.43,48.1,77.6,54.27,14.51,85.05
ERAL1,64.3,75.82,58.12,47.04,54.76,25.21,51.81
PRMT7,65.42,37.37,46.3,37.31,50.94,19.71,33.63
NIP7,66.18,48.02,43.66,30.59,25.66,20.98,22.17
TERF2,24.98,16.9,22.61,16.54,16.87,7.63,28.45
VPS4A,73.07,43.01,55.44,47.58,60.51,30.11,48.97
MTSS2,31.34,15.61,167.37,29.84,48.38,14.43,71.63
HSPA12B,0.23,0.72,2.22,1.56,0.57,0.27,0.02
ANKEF1,2.18,8.84,3.43,5.44,10.84,2.11,3.47
SCP2D1,0,0,0,0,0,0,0
PCED1A,24.09,10.78,22.16,14.15,19.96,12,21.58
SNAP25,1,17.09,0.02,0.01,3.51,0.06,0.34
BTBD3,42.17,13.38,14.1,14.86,10.07,7.75,10.48
PCNA,313.35,391.31,395.23,269.65,164.61,162.17,225.63
NXT1,19.01,37.91,30.73,24.7,25.23,27.01,16.19
POLR3F,16.63,13.79,11.5,11.2,14.9,8.59,6.6
RIN2,3.16,17.95,1.11,10.55,0.44,18.44,12.46
PTPRA,30.1,25.79,43.69,20.09,26.81,26.32,34.5
SSTR4,0.02,0,0,0,0.02,0,0
DAP3,186.5,104.44,80.4,114.03,98.49,116.09,113.17
RHBG,0.1,0.02,54.12,0.06,1.79,0.45,0.63
KHDC4,66.19,26.25,17.66,38.77,24.26,27.35,47.81
ATP1A4,0,0,0,0.01,0,0.01,0
NES,107.36,1.65,12.13,0.19,1.62,33.05,8.86
BCAN,0.53,0.05,0.19,0.32,0.06,0.07,0.43
CRP,0,0,0,0,0.01,0,0.02
ARHGEF11,23.59,8.88,7.45,8.7,6.45,5.97,13.57
RAB25,0.25,0.13,0.33,201.38,122.52,3.27,134.62
HAPLN2,0,0,0,0.03,0.04,0,0
APCS,0.03,0,0,0,0,0,0
FCRL2,0,0.02,0,0,0,0,0.01
DCAF8,79.65,37.16,51.1,55.71,36.73,44.53,65.22
SYT11,14.46,1.19,0.1,0.03,0.01,0.86,9.83
IGHMBP2,13.43,7.2,6.25,14.16,9.63,7.81,14.55
ACY3,0.15,0.79,2.12,1.36,0,0.03,3.04
ALDH3B2,0.04,0.08,0.01,0.28,39.97,0.1,2.66
TESMIN,1.35,3.48,0.14,9.87,27.72,6.1,16.74
MMACHC,10.2,1.28,5.19,3.83,5.1,2.33,1.61
DPH2,59.15,25.5,21.73,47.62,31.5,24.58,16.31
TOE1,31.55,10.08,10.36,15.85,9.92,11.74,8.51
NASP,273.7,120.68,221.08,267.8,99.89,116.03,194.9
MUTYH,22.72,4.49,7.21,16.83,12.53,9.09,13.22
CTNNBL1,61.22,66.59,66.21,46.66,53.81,58.25,65.3
LPIN3,2.32,5.28,7.69,7.05,22.23,14.55,10.33
ZSWIM3,2.72,0.82,2.43,2.15,3.75,1.71,3.43
RBM38,10.58,8.06,25.93,26.86,23.58,10.93,29.47
VSTM2L,0.04,1,0.01,0.02,0.02,6.32,54.31
OSER1,48.9,50.02,32.67,44.12,24.4,26.43,38.49
SERINC3,78.78,52.08,49.99,50.09,62.92,68.69,71.97
PPP1R3D,5.42,2.05,1.93,6.84,13.34,1.91,9.56
DMGDH,0.05,0,4.55,0.32,0.53,0.33,0.06
BHMT2,0.08,0.01,21.53,0.02,0.01,0.01,0.58
AP3B1,31.45,40.3,22.08,22.91,25.35,13.09,36.53
ZBED3,4.44,1.31,5.3,7.5,1.4,1.58,1.04
PATJ,1.48,4.99,4.16,15.96,13.45,9.17,23.39
KANK4,0,0.41,10.57,0.02,0,0,0.55
ANGPTL3,0.01,0.01,0.71,0.15,0.01,0.01,0
SYT4,0.01,0.1,0.05,0,0.06,0.04,0.12
SLC14A2,0,0,0,0,0.01,0.01,0
FBXO44,11.27,12.73,15.58,1.09,12.35,13.22,11.26
CPLANE2,4.94,1.66,0.49,4.94,6.77,1.59,2.73
CASP9,10.54,8.05,5.98,6.83,7.06,4.42,7.18
NMUR2,0,0.01,0,21.32,0.02,0.04,0.02
DCTN4,27.88,20.7,13.65,21.86,23.73,15.3,26.58
PDE6A,0.14,0.08,0,0.01,0.92,0.02,0.12
ATP8A2,1.23,0,0.01,0,1.8,0.07,0.07
MTUS2,0.26,0,0,0.92,0.12,0,0
ZMYM5,12.51,6.83,4.23,11.52,10.05,5.38,10.42
USPL1,9.7,9.7,6.42,18.57,9.57,4.23,9.3
XPO4,10.99,8.18,7.03,17.45,6.99,8.69,7.72
TPTE2,0.02,0,0.01,0.02,0.01,0,0
POMP,332.97,166.09,79.17,379.76,141.94,96.53,140.5
CDK8,15.57,12.93,7.37,31.09,11.02,10.07,11.76
ALOX5AP,0.03,2.32,0.38,0.12,0.03,0.06,1.7
HMGB1P5,342.41,122.34,108.11,398.26,206.65,122.28,289.32
WASF3,4.83,0.2,8.49,0,1.91,1.59,0.62
RNF17,0.36,0.01,0,0,0,0,0
GPR12,0,0,0.01,0,0,0,0
CHRM3,3.81,0.01,0,1.89,0.01,1.36,0.04
MYH8,0.03,0,0,0,0,0,0
MYH10,62.85,21.02,59.89,7.23,19.76,10.58,20.48
PEMT,47.21,31.95,31.59,18.31,36.26,25.19,18.95
SCO1,75.9,58.54,29.3,27.4,41.64,17.88,18.49
MPRIP,123.48,175.2,28.97,53.02,55.94,326.41,84.72
CHI3L1,0.05,0,0.06,0.09,0.14,0.07,0.09
MYBPH,0,0,0.02,0.03,0.03,0.02,0.02
PIK3C2B,3.15,3.26,2.69,22.46,16.85,5.59,12.64
DSTYK,6.3,5.21,2.12,1.86,9.53,3.78,2.47
CHIT1,0.01,0.08,0,0,0.1,0,0
SLC41A1,38.12,15.87,2.14,8.25,28.28,17.43,13.57
LGR6,0.02,0.19,0.07,0.53,0.13,0.68,2.45
TMCC2,1.94,1.47,0.06,0.1,0.23,3.54,0.78
DCLK1,0.06,0.05,0,0.01,23.6,0.02,0.34
CCNA1,1.53,0.08,0.01,0.03,0.77,7.93,0.23
COG6,10.86,7.56,7.8,11.89,12.4,8.33,9.94
SPART,44.4,31.18,9.93,0.25,7.39,9.07,30.04
RXFP2,0,0,0,0,0,0,0
EPSTI1,0.04,0.03,0.04,0.41,0.03,0.42,11.2
TRPC4,0,0.01,0,0,0,0.04,0.01
POSTN,0.1,0.08,0.02,0.01,0.01,0.02,0.36
RFXAP,5.2,1.36,6.75,7.08,2.16,1.56,2.53
TPT1,2827.4,1233.4,2790.3,3917,3361,1425,4189.3
GPALPP1,17.55,10.48,10.68,24.06,10.77,8.05,17.39
STOML3,0,0,0,0.05,0,0.02,0.04
KL,0,0.02,0.01,0,0.02,0.02,0.85
RFC3,77.15,44.07,31.13,53.88,43.81,23.34,28.94
STARD13,15.79,2.37,6.48,0.35,6.24,6.29,0.86
IRS4,0.09,0,0,0,0,0,0.01
MORC4,3.92,30.29,7.66,13.05,3.65,11.67,12.69
BEX2,5.06,2.51,0.49,0.16,4.17,0.92,16.8
RNF128,5.04,0.12,28.08,37.86,0.03,0.04,1.28
GNG5P2,0.26,0.22,0.49,0.11,0.13,0.26,0.12
TBC1D8B,0.71,1.68,2.72,4.54,0.61,2,2.18
TCEAL4,55.68,72.43,34.45,20.77,223.19,77.51,89.32
BEX1,1.7,0.14,45.23,0.22,0.05,1.04,0.58
FAM104A,25.06,24.71,16.34,20.31,20.86,22.42,24.84
SLC39A11,7.95,14.29,13.96,9.54,36.22,14.63,52.68
EPHB2,8.76,21.1,0.08,1.51,1.79,7.14,18.28
SRRM1,57.67,32.85,42.84,65.03,43.03,31.74,42.6
BTBD2,27.82,14.47,41.89,29.6,27.82,30.16,57.28
PRAM1,0.07,0.05,0.05,0,0.06,0.02,0.14
KMT5C,8.19,4.6,4.76,19.28,24.41,4.85,3.61
ZNF414,29.22,5.54,18.8,15.39,13.38,11.5,16.8
PDE6B,1.75,0.01,0.25,0.09,4.16,0.01,4.37
HSPBP1,126.83,68.55,42.29,88.65,68.1,59.9,28.6
CSNK1G2,28.73,15.05,36.8,42.4,20.26,21.56,28.7
SLF1,8.61,9.46,2.1,3.63,4.11,3.09,7.01
CNDP2,51.96,72.16,76.77,94.89,61.16,48.7,84.18
MACROD1,18.69,3.25,21.67,47.62,48.11,15.37,29.67
WDR74,100.61,52.33,50.84,82.87,72.54,73.89,27.05
LGALS12,0.01,0.03,0,0,0.04,0.03,0
RTN3,82.21,110.82,50.31,174.41,143,138.94,178.39
PLAAT4,0.91,1.24,0.18,18.12,1.12,1.95,29.01
PLAAT2,0,0.39,0,0.98,4.44,0.93,0.39
MYH11,0.54,0.1,0.17,0.26,0.32,0.15,0.38
CEP20,24.02,60.63,33.22,28.63,24.47,20.25,45.22
MED10,50.28,47.2,19.58,46.13,50.41,50.57,75.61
PDZD2,7.72,0.07,0.02,0.22,0.14,1.18,3.43
MORC2,12.9,11.04,16.36,16.98,20.42,7.29,16.13
LARGE1,2.13,1.97,6.48,5.57,8.64,0.17,9.94
GSTT2B,0.65,0.12,0.21,0.11,0,0.5,0
MYO18B,0.01,0.06,0.02,0,0.01,0.01,0
SLC2A11,14.66,6.33,9.24,5.83,22.35,8.88,7.99
C1QTNF6,0.91,9.21,2.51,6.5,63.41,2.14,5.97
GGT2,0,0.54,0,0.03,0.1,0,0
FAM83F,0.01,0.02,0,1,0.18,1.5,1.71
SEC14L4,3.63,3.26,0.07,0.11,0.01,1.46,0.65
ZDHHC8P1,0.01,0.82,0.16,14.67,0.33,0.45,0.09
GIMAP6,0.02,0,0,0.01,0,0.04,0.02
